iter	RMSE
0	1165365.981
1	1112618.048
2	1071142.111
3	1026215.281
4	978625.3101
5	938206.3732
6	898534.4887
7	865132.07
8	840741.7626
9	815998.8556
10	794353.7578
11	775335.0149
12	753413.8045
13	738534.2376
14	719140.0442
15	699238.1022
16	683511.085
17	671029.1534
18	655296.1252
19	644417.2824
20	631798.0936
21	621131.9256
22	614528.7026
23	609197.0734
24	598042.6796
25	593821.3233
26	583058.3592
27	579465.9537
28	573158.2304
29	564663.0958
30	554838.5393
31	551792.241
32	546581.0538
33	544235.3305
34	539928.7826
35	533657.877
36	528798.2347
37	524032.7302
38	521672.4636
39	518940.8532
40	516353.849
41	513209.5586
42	511298.8528
43	505031.7332
44	502938.5851
45	499715.4158
46	497359.5611
47	495230.3282
48	492458.1802
49	488182.9103
50	486047.158
51	484710.595
52	481476.5117
53	477372.249
54	473810.398
55	470557.844
56	468869.1647
57	467612.8302
58	466070.3997
59	464637.4291
60	462975.4059
61	461332.6359
62	458512.8025
63	456216.4862
64	455251.2511
65	454501.611
66	451243.4386
67	449346.7126
68	447826.8341
69	446315.3483
70	444885.5871
71	443437.1991
72	441549.7547
73	440500.9287
74	438766.0121
75	436749.2566
76	434734.6097
77	433060.4071
78	431157.9838
79	430336.4369
80	428663.8469
81	426775.142
82	425464.1281
83	422039.2008
84	420988.8025
85	419637.65
86	418688.3672
87	417787.0512
88	416642.1832
89	414701.539
90	413253.8026
91	412921.8657
92	412645.3657
93	412050.5584
94	410447.2136
95	408489.1227
96	407584.4363
97	406701.3485
98	405337.0871
99	403846.0967
100	403130.6514
101	402599.7993
102	401952.849
103	401530.1395
104	401093.1981
105	400682.2187
106	400129.4896
107	399784.2103
108	398788.4728
109	397381.0792
110	396514.8984
111	394743.9059
112	392842.5495
113	392028.4
114	391323.0422
115	390812.3778
116	390035.622
117	389553.329
118	388823.9704
119	387310.8752
120	386552.4914
121	386094.9743
122	384607.6456
123	382539.7208
124	381571.1689
125	380642.0126
126	380136.0431
127	379173.9969
128	378680.563
129	378090.6994
130	377626.8752
131	376912.1036
132	376604.5442
133	376155.055
134	375458.858
135	374999.7635
136	374120.6134
137	373434.5475
138	372921.6802
139	372682.2675
140	370910.3759
141	368786.1261
142	368359.4378
143	367534.94
144	366785.127
145	365422.2776
146	364659.4987
147	363230.7642
148	362603.4733
149	361365.875
150	359736.2003
151	359370.7427
152	358709.6288
153	358175.3133
154	357771.6145
155	356923.1429
156	356201.0598
157	355116.8135
158	354036.5464
159	353421.8459
160	353112.5006
161	352821.322
162	351781.8451
163	351323.0131
164	350750.1362
165	350421.2748
166	348426.3685
167	346957.951
168	345324.6934
169	344517.5425
170	343690.1286
171	342915.1248
172	342127.9091
173	341143.18
174	340417.914
175	339756.791
176	339279.8095
177	338316.6521
178	337637.3848
179	336573.4813
180	336069.9162
181	335288.3518
182	334940.9614
183	334468.6255
184	334042.1645
185	333304.5266
186	331930.8673
187	331190.3914
188	330906.8465
189	330492.6691
190	329960.3937
191	329276.7586
192	329100.7821
193	328740.4362
194	328615.1828
195	327648.6509
196	325314.869
197	324985.7606
198	324722.6621
199	324297.168
200	323243.6999
201	322595.7423
202	321764.9511
203	320588.0339
204	319348.3293
205	318914.2857
206	318424.8494
207	317742.4175
208	317220.2642
209	316665.3313
210	315787.6588
211	315272.3583
212	314835.013
213	314156.8824
214	313947.6974
215	313541.5392
216	312838.0465
217	312230.5813
218	312076.6151
219	311658.0826
220	311280.5109
221	311035.3431
222	310639.5632
223	309548.852
224	308913.7689
225	308623.8741
226	308238.6105
