iter	Passed	Remaining
0	184	184710
1	230	114792
2	290	96490
3	346	86316
4	419	83514
5	472	78216
6	577	81947
7	633	78507
8	682	75103
9	724	71722
10	770	69239
11	821	67664
12	888	67493
13	933	65726
14	977	64206
15	1022	62854
16	1067	61735
17	1110	60569
18	1151	59460
19	1189	58305
20	1238	57743
21	1282	56992
22	1326	56360
23	1374	55910
24	1417	55265
25	1452	54394
26	1491	53743
27	1529	53082
28	1572	52647
29	1617	52311
30	1668	52159
31	1727	52244
32	1789	52444
33	1835	52159
34	1880	51836
35	1922	51480
36	1972	51351
37	2030	51414
38	2094	51607
39	2139	51343
40	2178	50952
41	2223	50717
42	2271	50558
43	2316	50328
44	2362	50131
45	2404	49860
46	2453	49750
47	2499	49577
48	2539	49284
49	2581	49049
50	2627	48900
51	2672	48713
52	2718	48572
53	2758	48329
54	2804	48188
55	2856	48147
56	2908	48119
57	2963	48134
58	3016	48103
59	3058	47914
60	3114	47936
61	3161	47824
62	3203	47638
63	3264	47747
64	3306	47563
65	3351	47422
66	3393	47257
67	3433	47056
68	3470	46832
69	3506	46588
70	3545	46385
71	3582	46178
72	3620	45977
73	3671	45941
74	3715	45818
75	3760	45725
76	3806	45630
77	3846	45468
78	3883	45278
79	3922	45113
80	3963	44969
81	4004	44834
82	4057	44831
83	4118	44910
84	4188	45083
85	4248	45157
86	4291	45041
87	4336	44943
88	4380	44839
89	4422	44716
90	4469	44650
91	4507	44485
92	4544	44321
93	4581	44154
94	4618	44001
95	4662	43909
96	4702	43773
97	4750	43723
98	4797	43660
99	4846	43617
100	4887	43507
101	4931	43414
102	4980	43375
103	5033	43366
104	5074	43250
105	5115	43140
106	5265	43947
107	5337	44083
108	5387	44038
109	5438	44003
110	5487	43953
111	5538	43909
112	5579	43795
113	5621	43689
114	5659	43556
115	5701	43447
116	5741	43331
117	5781	43217
118	5835	43203
119	5888	43185
120	5935	43118
121	5979	43029
122	6022	42943
123	6069	42880
124	6112	42787
125	6169	42791
126	6228	42811
127	6270	42714
128	6316	42650
129	6357	42544
130	6399	42452
131	6444	42379
132	6501	42378
133	6552	42349
134	6592	42243
135	6632	42136
136	6673	42036
137	6718	41965
138	6758	41864
139	6798	41763
140	6836	41647
141	6871	41522
142	6910	41416
143	6951	41321
144	6991	41225
145	7031	41130
146	7071	41033
147	7110	40932
148	7146	40817
149	7184	40709
150	7220	40598
151	7257	40491
152	7297	40400
153	7336	40302
154	7372	40191
155	7408	40084
156	7447	39991
157	7487	39901
158	7528	39819
159	7577	39779
160	7629	39757
161	7669	39671
162	7714	39612
163	7761	39563
164	7800	39476
165	7844	39413
166	7887	39342
167	7929	39272
168	7973	39206
169	8012	39121
170	8049	39022
171	8089	38942
172	8128	38857
173	8165	38761
174	8203	38674
175	8242	38591
176	8306	38621
177	8342	38527
178	8379	38435
179	8421	38364
180	8458	38272
181	8494	38180
182	8535	38106
183	8572	38017
184	8611	37937
185	8657	37887
186	8711	37872
187	8757	37824
188	8806	37789
189	8851	37734
190	8900	37698
191	8957	37695
192	9003	37645
193	9045	37579
194	9087	37515
195	9125	37434
196	9169	37376
197	9208	37298
198	9245	37215
199	9285	37140
200	9325	37071
201	9364	36996
202	9409	36942
203	9468	36946
204	9506	36868
205	9544	36788
206	9584	36717
207	9621	36636
208	9658	36554
209	9696	36478
210	9742	36432
211	9786	36376
212	9828	36313
213	9868	36246
214	9911	36187
215	9952	36122
216	9993	36059
217	10044	36032
218	10098	36013
219	10148	35981
220	10194	35932
221	10232	35860
222	10274	35800
223	10324	35766
224	10382	35763
225	10423	35697
226	10460	35622
