brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Honda,Fit,GP5,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","155,000 km",8500000
Honda,Fit,Gp 5 S Grade,2016,Used,Automatic,Hatchback,Hybrid,"1,500 cc","120,000 km",8635000
Honda,Vezel,Vezel Z Grand,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","140,000 km",9150000
Honda,Fit,GP1,2013,Used,Automatic,Hatchback,Petrol,"1,330 cc","140,000 km",6900000
Honda,N-WGN,Custom Turbo,2017,Used,Automatic,Hatchback,Petrol,650 cc,"61,000 km",6700000
Honda,Fit,Honda Fit GP1 2012,2012,Used,Automatic,Hatchback,Hybrid,"1,300 cc","128,000 km",6750000
Honda,Fit,GP1,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","190,000 km",6450000
Honda,Fit,GP 1,2011,Used,Automatic,Hatchback,Petrol,"1,300 cc","128,000 km",6200000
Honda,Insight,Honda Insight 2009,2009,Used,Automatic,Hatchback,Hybrid,"1,300 cc","195,000 km",6800000
Honda,Fit,GP5-L,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","108,200 km",7860000
Honda,Fit,Fit GP1,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","124,000 km",6450000
Toyota,Vitz,2007,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","200,000 km",5375000
Honda,Fit,GP5,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","145,000 km",7350000
Honda,Fit,GP1,2013,Used,Automatic,Hatchback,Hybrid,"1,300 cc","142,000 km",6890000
Honda,Vezel,Z Grade,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","124,000 km",9150000
Honda,Fit,,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","139,000 km",7400000
Honda,Fit Shuttle,INTEL KEY CRUISE,2012,Used,Automatic,Hatchback,Hybrid,"1,330 cc","147,500 km",8375000
Honda,Vezel,,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","172,000 km",9250000
Honda,Fit,GP 1,2012,Used,Automatic,Hatchback,Hybrid,"1,330 cc","118,269 km",5989998
Honda,N-WGN,Custom,2016,Used,Automatic,Hatchback,Petrol,650 cc,"81,239 km",6790000
Honda,Fit,10th Annivesary,2013,Used,Automatic,Hatchback,Hybrid,"1,300 cc","216,000 km",6750000
Honda,Fit,S grade,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","90,000 km",7650000
Honda,Fit,GP5 S Grade,2013,Used,Automatic,Hatchback,Petrol,"1,500 cc","162,500 km",7650000
Honda,Fit,GP5,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","99,926 km",7275000
Honda,Fit,Honda Fit GP5,2014,Used,Automatic,Hatchback,Petrol,"1,490 cc","163,757 km",8100000
Honda,Fit,GP5,2015,Used,Automatic,Hatchback,Petrol,"1,500 cc","113,000 km",7800000
