mileage,engine_capacity,manufacture_year,model,fuel_type_Petrol,price
1200,1200,2010,March,True,6150000
110000,1250,2007,March,True,4350000
180000,660,2016,Dayz,True,5500000
38854,650,2016,Dayz,True,5885000
17000,660,2023,Roox Highway Star X,False,8375000
60000,650,2019,Dayz,True,5680000
18000,660,2023,Dayz,False,8075000
2900,990,2025,Magnite,True,8950000
47000,990,2018,Vitz,True,8500000
98000,1200,2017,Note,True,7900000
107267,650,2015,Dayz,True,5950000
89000,1000,2014,Leaf,False,5500000
109999,650,2018,Dayz,True,6350000
99000,650,2015,Dayz,True,5600000
119250,650,2017,Dayz,True,6475000
132000,1240,2007,March,True,4750000
84071,650,2016,Dayz,True,5790000
107600,2000,2016,Dayz,True,5850000
44000,1200,2020,Note,True,8700000
83500,660,2018,Wagon R Stingray,True,7050000
8000,660,2023,Dayz,False,7985000
171000,1500,2009,Note,True,4750000
3619,660,2024,Clipper,True,7850000
104000,1200,2016,Note,False,7500000
120000,1330,2012,Fit,True,6380000
105415,650,2015,Dayz,True,5690000
17000,660,2023,Roox,False,9175000
81006,660,2017,Wagon R Fx,False,6295000
143000,1490,2013,Fit,True,7350000
220000,650,2016,Wagon R,True,5600000
118000,660,2015,Wagon R Fz,False,5745000
158000,990,2017,Baleno,True,9000000
145000,660,2018,Wagon R,False,6295000
120898,650,2016,Spacia,False,6890000
100450,1000,2015,Celerio,True,5100000
119603,650,2014,Wagon R Fz,False,5750000
30000,660,2023,Alto,False,6500000
92744,650,2018,Wagon R Stingray,True,7190000
75794,6550,2017,Wagon R Stingray,True,6925001
55000,660,2018,Wagon R,True,6850000
150000,650,2016,Spacia,True,5800000
84000,660,2018,Spacia,True,7090000
92000,1000,2017,Swift,True,8200000
120000,1330,2012,Fit,True,6380000
69597,650,2018,Wagon R Fz,False,6750001
129000,660,2017,Alto,True,5375000
116012,650,2017,Wagon R Fx,False,6190000
1830,660,2024,Spacia,False,9550000
64000,1000,2018,Celerio,True,5725000
93000,1000,2017,Celerio,True,5275000
47000,990,2018,Vitz,True,8500000
57500,650,2015,Wagon R,True,5750000
108542,650,2015,Wagon R Fz,False,5390000
120000,650,2014,Wagon R Stingray,False,5540000
111941,650,2017,Alto,True,5230000
37826,650,2017,Wagon R Fz,False,6990000
64000,1300,2013,Fit,False,6750000
161817,650,2015,Hustler,False,5890000
90000,660,2018,Wagon R Fx,True,6175000
78000,660,2014,Wagon R Stingray,False,5680000
155000,660,2015,Hustler,False,5565000
113000,660,2017,Wagon R Fz,False,6950000
78000,1000,2019,Celerio,True,5790000
172000,1320,2005,Swift,True,5290000
82000,650,2017,Wagon R Fx,False,6350000
86669,650,2018,Wagon R Fz,False,6790000
90000,1300,2007,Swift,True,5400000
128000,1000,2017,Baleno,True,7250000
153000,1320,2005,Swift,True,5100000
110009,1400,2014,Swift,True,6800000
45000,650,2017,Wagon R Fx,True,6700000
41325,660,2018,Wagon R Stingray,False,7100000
