brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Daihatsu,Mira,2025,2025,Used,Automatic,Hatchback,Petrol,660 cc,"3,500 km",6600000
Daihatsu,Mira,2017-2019,2017,Used,Automatic,Hatchback,Petrol,650 cc,"89,000 km",5275000
Daihatsu,Mira,1st Owner,2016,Used,Automatic,Hatchback,Petrol,660 cc,"79,000 km",5190000
Daihatsu,Taft,DARK CHROME VENTURE,2025,Used,Automatic,Hatchback,Petrol,650 cc,"14,000 km",8650000
Daihatsu,Move,Custom,2017,Used,Automatic,Hatchback,Petrol,650 cc,"125,000 km",6275000
Daihatsu,Tanto,Custom RS,2025,Used,Automatic,Hatchback,Petrol,658 cc,"1,100 km",9800000
Toyota,Vitz,KSP130 Vitz,2018,Used,Automatic,Hatchback,Petrol,990 cc,"47,000 km",8500000
Daihatsu,Mira,Safety Edition,2018,Used,Automatic,Hatchback,Petrol,660 cc,"82,000 km",5800000
Daihatsu,Taft,G,2024,Used,Automatic,Hatchback,Petrol,658 cc,"9,805 km",8150000
Daihatsu,Mira,,2016,Used,Automatic,Hatchback,Petrol,650 cc,"93,000 km",5400000
Honda,Vezel,Orange Pack,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","180,000 km",8800000
Suzuki,Wagon R,,2024,Used,Automatic,Hatchback,Petrol,660 cc,"3,600 km",7030000
Daihatsu,Mira,L Grade,2024,Used,Automatic,Hatchback,Petrol,650 cc,"8,000 km",6450000
Daihatsu,Taft,X,2025,Used,Automatic,Hatchback,Petrol,658 cc,"1,004 km",7750000
Daihatsu,Cast Activa,,2016,Used,Automatic,Hatchback,Petrol,660 cc,"177,000 km",5500000
Daihatsu,Move,Custom GR Sport LED,2018,Used,Automatic,Hatchback,Petrol,650 cc,"61,500 km",6895000
Daihatsu,Cast Activa,Style,2017,Used,Automatic,Hatchback,Petrol,660 cc,"118,000 km",5790000
Daihatsu,Mira,L Grade,2025,Used,Automatic,Hatchback,Petrol,650 cc,"5,913 km",6590000
Daihatsu,Mira,Full Option,2008,Used,Automatic,Hatchback,Petrol,650 cc,"178,000 km",4275000
Daihatsu,Mira,G Grade,2024,Used,Automatic,Hatchback,Petrol,650 cc,"10,000 km",6790000
Daihatsu,Mira,es,2017,Used,Automatic,Hatchback,Petrol,660 cc,"5,400 km",5550000
Honda,Fit,GP5 L Exclusive,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","145,000 km",7950000
Daihatsu,Taft,,2023,Used,Automatic,Hatchback,Petrol,660 cc,"14,000 km",8300000
Daihatsu,Mira,,2017,Used,Automatic,Hatchback,Petrol,650 cc,"121,000 km",5175000
Daihatsu,Move,,2016,Used,Automatic,Hatchback,Petrol,658 cc,"78,000 km",5790000
Daihatsu,Mira,,2015,Used,Automatic,Hatchback,Petrol,650 cc,"93,600 km",5350000
Daihatsu,Move,Custom Led Facelift,2018,Used,Automatic,Hatchback,Petrol,650 cc,"74,000 km",6695000
Daihatsu,Mira,Daihatsu,2016,Used,Automatic,Hatchback,Petrol,650 cc,"125,750 km",4950000
Daihatsu,Move,Japan,2023,Used,Automatic,Hatchback,Petrol,660 cc,"11,960 km",7300000
Daihatsu,Cast Activa,Style,2022,Used,Automatic,Hatchback,Petrol,660 cc,"11,000 km",7550000
Daihatsu,Move,Custom Turbo G Grade,2017,Used,Automatic,Hatchback,Petrol,650 cc,"79,000 km",6695000
Daihatsu,Mira,X LIMITED,2024,Reconditioned,Automatic,Hatchback,Petrol,660 cc,"13,000 km",6590000
Daihatsu,Mira,Es,2015,Used,Automatic,Hatchback,Petrol,650 cc,"89,261 km",5590000
Daihatsu,Taft,G CHROME VENT TURBO,2024,Used,Automatic,Hatchback,Petrol,660 cc,"18,000 km",7790000
Daihatsu,Mira,,2015,Used,Automatic,Hatchback,Petrol,650 cc,"110,208 km",5590000
