brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Suzuki,Wagon R FX,Safety Hybrid,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"81,006 km",6295000
Honda,Fit,GP5,2013,Used,Automatic,Hatchback,Petrol,"1,490 cc","143,000 km",7350000
Suzuki,Wagon R,,2016,Used,Automatic,Hatchback,Petrol,650 cc,"220,000 km",5600000
Suzuki,Wagon R FZ,2015,2015,Used,Automatic,Hatchback,Hybrid,660 cc,"118,000 km",5745000
Suzuki,Baleno,2017,2017,Used,Automatic,Hatchback,Petrol,990 cc,"158,000 km",9000000
Suzuki,Wagon R,,2018,Used,Automatic,Hatchback,Hybrid,660 cc,"145,000 km",6295000
Suzuki,Spacia,Custom,2016,Used,Automatic,Hatchback,Hybrid,650 cc,"120,898 km",6890000
Suzuki,Celerio,Suzuki Celerio VXI,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","100,450 km",5100000
Suzuki,Wagon R FZ,Safety,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"119,603 km",5750000
Suzuki,Alto,,2023,Used,Automatic,Hatchback,Hybrid,660 cc,"30,000 km",6500000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Petrol,650 cc,"92,744 km",7190000
Suzuki,Wagon R Stingray,,2017,Used,Automatic,Hatchback,Petrol,"6,550 cc","75,794 km",6925001
Suzuki,Wagon R,Stingray,2018,Used,Automatic,Hatchback,Petrol,660 cc,"55,000 km",6850000
Suzuki,Spacia,2016,2016,Used,Automatic,Hatchback,Petrol,650 cc,"150,000 km",5800000
Suzuki,Spacia,Z Custom,2018,Used,Automatic,Hatchback,Petrol,660 cc,"84,000 km",7090000
Suzuki,Swift,RS Turbo,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","92,000 km",8200000
Honda,Fit,GP1 Navi Premium,2012,Used,Automatic,Hatchback,Petrol,"1,330 cc","120,000 km",6380000
Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"69,597 km",6750001
Suzuki,Alto,,2017,Used,Automatic,Hatchback,Petrol,660 cc,"129,000 km",5375000
Suzuki,Wagon R FX,Non Safety,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"116,012 km",6190000
Suzuki,Spacia,,2024,Used,Automatic,Hatchback,Hybrid,660 cc,"1,830 km",9550000
Suzuki,Celerio,ZXI Auto,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","64,000 km",5725000
Suzuki,Celerio,ZXI Auto,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,000 km",5275000
Toyota,Vitz,KSP130 Vitz,2018,Used,Automatic,Hatchback,Petrol,990 cc,"47,000 km",8500000
Suzuki,Wagon R,J Style,2015,Used,Automatic,Hatchback,Petrol,650 cc,"57,500 km",5750000
Honda,Vezel,Orange Pack,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","180,000 km",8800000
Suzuki,Wagon R FZ,SAFETY PUSH 2016,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"108,542 km",5390000
Suzuki,Wagon R Stingray,Safety,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"120,000 km",5540000
Suzuki,Alto,HA36,2017,Used,Automatic,Hatchback,Petrol,650 cc,"111,941 km",5230000
Suzuki,Wagon R FZ,Safety,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"37,826 km",6990000
Honda,Fit,GP1,2013,Used,Automatic,Hatchback,Hybrid,"1,300 cc","64,000 km",6750000
Suzuki,Hustler,,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"161,817 km",5890000
Suzuki,Wagon R FX,2018,2018,Used,Automatic,Hatchback,Petrol,660 cc,"90,000 km",6175000
Suzuki,Wagon R Stingray,J Style,2014,Used,Automatic,Hatchback,Hybrid,660 cc,"78,000 km",5680000
Suzuki,Hustler,G,2015,Used,Automatic,Hatchback,Hybrid,660 cc,"155,000 km",5565000
Suzuki,Wagon R FZ,,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"113,000 km",6950000
Suzuki,Celerio,X 1st Owner,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","78,000 km",5790000
Suzuki,Swift,JAPAN,2005,Used,Automatic,Hatchback,Petrol,"1,320 cc","172,000 km",5290000
Suzuki,Wagon R FX,2018,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"82,000 km",6350000
Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"86,669 km",6790000
Suzuki,Swift,2007,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","90,000 km",5400000
Suzuki,Baleno,,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","128,000 km",7250000
Suzuki,Swift,2005,2005,Used,Automatic,Hatchback,Petrol,"1,320 cc","153,000 km",5100000
Suzuki,Swift,,2014,Used,Automatic,Hatchback,Petrol,"1,400 cc","110,009 km",6800000
Suzuki,Wagon R FX,Safety,2017,Used,Automatic,Hatchback,Petrol,650 cc,"45,000 km",6700000
Suzuki,Wagon R Stingray,X,2018,Used,Automatic,Hatchback,Hybrid,660 cc,"41,325 km",7100000
Suzuki,Wagon R Stingray,Wagon R Stingray,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"129,000 km",5475000
Suzuki,Swift,ZC71S,2009,Used,Automatic,Hatchback,Petrol,"1,300 cc","113,000 km",5100000
Toyota,Passo,Body 2018REG,2014,Used,Automatic,Hatchback,Petrol,"1,000 cc","124,000 km",5550000
Suzuki,Alto,S Grade Hybrid,2024,Used,Automatic,Hatchback,Hybrid,660 cc,"5,000 km",7025000
Suzuki,Wagon R FX,,2018,Used,Automatic,Hatchback,Hybrid,660 cc,"59,200 km",5800000
Suzuki,Wagon R Stingray,,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"75,794 km",6925000
Suzuki,Alto,S GRADE,2024,Used,Automatic,Hatchback,Hybrid,650 cc,"2,000 km",6895000
Suzuki,Wagon R Stingray,,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"90,676 km",5990000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Petrol,660 cc,"83,500 km",7050000
Suzuki,Wagon R Stingray,,2014,Used,Automatic,Hatchback,Hybrid,660 cc,"60,000 km",6200000
Suzuki,Wagon R Stingray,Suzuki,2018,Used,Automatic,Hatchback,Petrol,660 cc,"100,000 km",7000000
Suzuki,Wagon R Stingray,,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"177,097 km",5590000
Suzuki,Wagon R,premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"82,143 km",6950000
Suzuki,Swift,RS Turbo,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","96,500 km",8250000
Suzuki,Wagon R Stingray,,2014,Used,Automatic,Hatchback,Hybrid,660 cc,"53,000 km",5800000
Suzuki,Alto,L Grade,2017,Used,Automatic,Hatchback,Petrol,660 cc,"106,000 km",5200000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"66,367 km",7090000
Suzuki,Swift,RS Turbo,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","99,000 km",7750000
Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"36,131 km",6895001
Suzuki,Wagon R FZ,,2017,Used,Automatic,Hatchback,Petrol,650 cc,"73,800 km",6390000
Suzuki,Hustler,J Style,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"94,578 km",5890000
Suzuki,Swift,RS,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","78,944 km",7975000
Suzuki,Alto,Japan,2016,Used,Automatic,Hatchback,Petrol,660 cc,"105,000 km",5350000
Suzuki,Maruti,2007,2007,Used,Automatic,Hatchback,Petrol,800 cc,"125,000 km",2050000
Suzuki,Wagon R Stingray,Suzuki,2019,Used,Automatic,Hatchback,Petrol,650 cc,"62,247 km",7500000
Suzuki,Swift,SWIFT JAPAN 1300,2006,Used,Automatic,Hatchback,Petrol,"1,300 cc","142,147 km",4990000
Suzuki,Spacia,Semi-Hybrid,2016,Used,Automatic,Hatchback,Petrol,650 cc,"120,000 km",5850000
Suzuki,Wagon R FZ,Non Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"75,876 km",6790001
Suzuki,Spacia,Custom,2015,Used,Automatic,Hatchback,Petrol,660 cc,"142,000 km",6490000
Suzuki,Wagon R,J Style,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"95,000 km",6375000
Suzuki,Wagon R FZ,Safety 55000km,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"55,000 km",6650000
Suzuki,Wagon R,Stingray,2018,Used,Automatic,Hatchback,Petrol,660 cc,"62,150 km",7500000
Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"64,433 km",6750000
Suzuki,Celerio,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","107,000 km",4650000
Suzuki,Celerio,Suzuki,2014,Used,Automatic,Hatchback,Petrol,"1,000 cc","102,400 km",4750000
Suzuki,Wagon R FX,Non Safety,2017,Used,Automatic,Hatchback,Petrol,650 cc,"97,246 km",5825000
Suzuki,Wagon R Stingray,STRINGRAY 2016,2016,Used,Automatic,Hatchback,Hybrid,650 cc,"108,452 km",5625000
Honda,Fit,GP 1,2011,Used,Automatic,Hatchback,Petrol,"1,300 cc","128,000 km",6200000
Suzuki,Swift,Beetle,2010,Used,Automatic,Hatchback,Petrol,"1,300 cc","137,000 km",5975000
Suzuki,Swift,Beetle,2007,Used,Automatic,Hatchback,Petrol,"1,500 cc","160,000 km",5375000
Suzuki,Hustler,,2016,Used,Automatic,Hatchback,Petrol,"6,600 cc","131,200 km",5575000
Suzuki,Celerio,Vxi Auto,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","98,000 km",4975000
Suzuki,Wagon R FZ,Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"77,317 km",6875000
Suzuki,Wagon R FZ,Safety Model,2017,Used,Automatic,Hatchback,Petrol,650 cc,"238,000 km",6300000
Toyota,Vitz,2007,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","200,000 km",5375000
Suzuki,Celerio,ZXI,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","72,841 km",5500000
Suzuki,Alto,,2007,Used,Automatic,Hatchback,Petrol,800 cc,"106,889 km",3550000
Suzuki,SX4,Auto,2010,Used,Automatic,Hatchback,Petrol,"1,600 cc","160,000 km",4990000
Suzuki,Alto,K10,2016,Used,Automatic,Hatchback,Petrol,998 cc,"66,674 km",4590000
Suzuki,Swift,Japan,2011,Used,Automatic,Hatchback,Petrol,"1,400 cc","110,000 km",5550000
Suzuki,Celerio,Vxi Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","116,000 km",4975000
Suzuki,Alto,Suzuki Japan Alto,2017,Used,Automatic,Hatchback,Petrol,650 cc,"109,000 km",5500000
Suzuki,Wagon R FZ,,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"80,000 km",6600000
Suzuki,Celerio,Vxi Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","96,000 km",4975000
Suzuki,Alto,Japan Alto 2017,2017,Used,Automatic,Hatchback,Petrol,650 cc,"74,300 km",5350000
Suzuki,Wagon R Stingray,S-Hybrid,2023,Used,Automatic,Hatchback,Petrol,660 cc,"19,760 km",8650000
Suzuki,Wagon R FX,Safety,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"94,885 km",6330000
Suzuki,Swift,Suzuki,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","120,000 km",7500000
Suzuki,Celerio,Vxi Auto,2014,Used,Automatic,Hatchback,Petrol,"1,000 cc","103,000 km",4675000
Suzuki,Wagon R FZ,Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"58,826 km",6950000
Suzuki,Celerio,VXI,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","80,000 km",5225000
