brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Toyota,Tank,GS CUSTOM,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","73,000 km",8190000
Toyota,Prius,2nd Gen,2008,Used,Automatic,Hatchback,Hybrid,"1,500 cc","210,000 km",6100000
Toyota,Vitz,Toyota,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","73,000 km",7275000
Toyota,Passo,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","145,000 km",6050000
Toyota,Prius,3rd Generation,2011,Used,Automatic,Hatchback,Hybrid,"1,800 cc","126,000 km",10000000
Toyota,Vitz,2015,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","92,000 km",6900000
Toyota,Aqua,Urban,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","144,000 km",8000000
Toyota,Vitz,,2007,Used,Automatic,Saloon,Petrol,"1,300 cc","115,000 km",5550000
Toyota,Vitz,Safety Edition,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","61,900 km",7590000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,990 cc,"94,781 km",7190000
Toyota,Vitz,Safety Edition 1,2017,Used,Automatic,Hatchback,Petrol,990 cc,"89,520 km",7575000
Toyota,Aqua,,2016,Used,Automatic,Hatchback,Hybrid,"1,496 cc","81,000 km",9000000
Toyota,Vitz,Safety Edition,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,737 km",7850000
Toyota,Aqua,,2013,Used,Automatic,Hatchback,Hybrid,"1,496 cc","74,179 km",6950000
Toyota,Yaris,X Grade,2024,Used,Automatic,Hatchback,Petrol,"1,000 cc","9,000 km",9490000
Toyota,Prius,,2013,Used,Automatic,Hatchback,Petrol,"1,800 cc","176,000 km",9950000
Toyota,Vitz,Vitz,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","105,400 km",7150000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","182,150 km",7490000
Toyota,Vitz,Safety Edition,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","42,000 km",7500000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","200,500 km",5450000
Toyota,Vitz,,2017,Used,Automatic,Hatchback,Petrol,990 cc,"64,000 km",7950000
Toyota,Aqua,Hybrid,2013,Used,Automatic,Hatchback,Petrol,"1,500 cc","48,000 km",8300000
Toyota,Vitz,KSP130 Vitz,2018,Used,Automatic,Hatchback,Petrol,990 cc,"47,000 km",8500000
Toyota,Aqua,Aqua,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","128,000 km",6600000
Toyota,Aqua,G Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","158,000 km",7980000
Toyota,Vitz,Toyota,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","41,000 km",9000000
Toyota,Vitz,Vitz,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","58,000 km",7650000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,000 km",5500000
Toyota,Aqua,G Grade,2015,Used,Automatic,Hatchback,Hybrid,"1,490 cc","180,000 km",8200000
Toyota,Aqua,,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","188,499 km",7850000
Toyota,Prius,prius 20,2008,Used,Automatic,Hatchback,Hybrid,"1,500 cc","182,000 km",6350000
Toyota,Vitz,KSP 90,2008,Used,Automatic,Hatchback,Petrol,990 cc,"140,000 km",5500000
Toyota,Aqua,,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","120,000 km",7900000
Toyota,Prius,2nd Generation,2011,Used,Automatic,Hatchback,Hybrid,"1,500 cc","187,000 km",6950000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","92,000 km",7850000
Toyota,Passo,,2010,Used,Automatic,Hatchback,Petrol,"1,000 cc","165,000 km",4980000
Toyota,Vitz,Full Option,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","118,000 km",6575000
Toyota,Vitz,KSP90 Push,2008,Used,Automatic,Hatchback,Petrol,"1,300 cc","167,000 km",5900000
Toyota,Vitz,,2019,Used,Automatic,Hatchback,Petrol,990 cc,"55,679 km",8500000
Toyota,Pixis,G Grade,2022,Used,Automatic,Hatchback,Petrol,650 cc,"10,359 km",7195000
Toyota,Vitz,KSP 90,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","66,057 km",5750000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","113,000 km",7600000
Toyota,Vitz,,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","110,000 km",5250000
Toyota,Passo,Safety 2019,2019,Used,Automatic,Hatchback,Petrol,996 cc,"48,000 km",7490000
Toyota,Aqua,S Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,490 cc","146,504 km",7690000
Toyota,Passo,Body 2018REG,2014,Used,Automatic,Hatchback,Petrol,"1,000 cc","124,000 km",5550000
Toyota,Vitz,Toyota Vitz Auto,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","125,000 km",7200000
Toyota,Vitz,Jewella,2018,Used,Automatic,Hatchback,Petrol,990 cc,"105,322 km",8500000
Toyota,Aqua,G Grade,2012,Used,Automatic,Hatchback,Petrol,"1,500 cc","101,000 km",7250000
Toyota,Aqua,X Urban,2014,Used,Automatic,Hatchback,Hybrid,"1,496 cc","159,051 km",7800000
Toyota,Wigo,G Grade,2017,Used,Automatic,Hatchback,Petrol,998 cc,"96,214 km",5950000
Toyota,Vitz,Edition 03,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","95,000 km",8250000
Toyota,Vitz,Vitz 2019 Edition 3,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","70,000 km",8500000
Toyota,Vitz,,2018,Used,Automatic,Hatchback,Petrol,990 cc,"32,000 km",8750000
Toyota,Vitz,Toyota,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","90,706 km",7250000
Toyota,Aqua,G Grade,2013,Used,Automatic,Hatchback,Petrol,"1,500 cc","162,000 km",7350000
Toyota,Raize,,2019,Used,Automatic,Hatchback,Petrol,998 cc,"110,000 km",9600000
Toyota,Vitz,,2017,Used,Automatic,Hatchback,Petrol,990 cc,"53,200 km",7800000
Toyota,Vitz,KSP 130,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","113,000 km",7150000
Toyota,Vitz,edition 3,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","14,772 km",9000000
Toyota,Vitz,edition 3,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","145,000 km",7800000
Suzuki,Swift,RS Turbo,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","99,000 km",7750000
Toyota,Aqua,Aqua,2013,Used,Automatic,Hatchback,Petrol,"1,500 cc","160,000 km",7800000
Toyota,Aqua,2014,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","125,000 km",8000000
Toyota,Vitz,Toyota Vitz,2009,Used,Automatic,Hatchback,Petrol,"1,000 cc","130,456 km",5550000
Toyota,Aqua,Toyota,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","158,600 km",7390000
Toyota,Aqua,Silver S grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","88,300 km",7450000
Toyota,Vitz,EDITION  3,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","30,000 km",8450000
Toyota,Vitz,Toyota,2007,Used,Automatic,Hatchback,Petrol,"1,500 cc","120,609 km",5300000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","54,844 km",7600000
Toyota,IST,Toyota,2008,Used,Automatic,Hatchback,Petrol,"2,500 cc","250,000 km",6400000
Toyota,Aqua,,2012,Used,Automatic,Hatchback,Hybrid,"1,498 cc","146,000 km",7450000
Toyota,Vitz,2016,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","87,500 km",7650000
Toyota,Aqua,2012,2012,Used,Automatic,Hatchback,Petrol,"1,500 cc","120,715 km",7250000
Toyota,Aqua,,2012,Used,Automatic,Hatchback,Petrol,"1,500 cc","139,000 km",7525000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,990 cc,"69,668 km",8390000
Toyota,Vitz,SCP90 1300 Pushstart,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","170,000 km",5475000
Toyota,Vitz,Safety Edition,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","134,000 km",6950000
Toyota,Passo,HANA,2013,Used,Automatic,Hatchback,Petrol,990 cc,"95,273 km",6290000
Toyota,Vitz,Edition 3,2018,Used,Automatic,Hatchback,Petrol,990 cc,"78,933 km",8090000
Toyota,Vitz,Scp90 1.3 Push Start,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","168,000 km",5400000
Toyota,Vitz,Safety Edition,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,193 km",7350000
Honda,Fit,GP 1,2011,Used,Automatic,Hatchback,Petrol,"1,300 cc","128,000 km",6200000
Toyota,Vitz,Safety Edition 1,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","98,000 km",7695000
Chery,QQ,,2007,Used,Automatic,Hatchback,Petrol,812 cc,"108,854 km",2275000
Toyota,Vitz,2007,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","200,000 km",5375000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","150,000 km",6900000
Toyota,Pixis,Joy G Grade,2018,Used,Automatic,Hatchback,Petrol,650 cc,"76,000 km",6485000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,990 cc,"170,000 km",5800000
Toyota,Aqua,G Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","142,100 km",7050000
Toyota,Wigo,,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,000 km",6600000
Toyota,Aqua,,2013,Used,Automatic,Hatchback,Hybrid,"1,490 cc","140,000 km",7600000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Hybrid,"1,496 cc","110,000 km",7225000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","82,000 km",7000000
Toyota,Vitz,Edition 1,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","45,000 km",7690000
Toyota,Aqua,G-Soft Leather,2015,Used,Automatic,Hatchback,Hybrid,"1,496 cc","93,000 km",7850000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","173,000 km",7500000
Toyota,Vitz,G 2nd edition,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","54,000 km",8400000
Toyota,Vitz,2016,2016,Used,Automatic,Hatchback,Petrol,990 cc,"80,000 km",7200000
Toyota,Pixis,Full Option,2016,Used,Automatic,Hatchback,Petrol,650 cc,"60,000 km",5475000
Toyota,Vitz,DBA KSP -130 VITZ,2018,Used,Automatic,Hatchback,Petrol,990 cc,"37,770 km",8650000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","85,000 km",7000000
Toyota,Vitz,SAFETY,2018,Used,Automatic,Hatchback,Petrol,990 cc,"76,000 km",7990000
Toyota,Passo,2011,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","118,000 km",4975000
Toyota,Passo,PUSH START SAFETY,2016,Used,Automatic,Hatchback,Petrol,990 cc,"95,568 km",6890000
Toyota,Prius,G Sola Sunroof,2010,Used,Automatic,Hatchback,Hybrid,"1,798 cc","184,500 km",9550000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","166,000 km",6900000
Toyota,Aqua,,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","170,000 km",7250000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","162,000 km",5350000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","112,443 km",7250000
Toyota,Vitz,Safety Edition 1,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","38,000 km",7550000
Toyota,Aqua,Xurban,2015,Used,Automatic,Hatchback,Hybrid,"1,496 cc","83,000 km",8750000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","85,000 km",7950000
Toyota,Vitz,Safety Edition 3,2019,Used,Automatic,Hatchback,Petrol,990 cc,"100,005 km",8650000
Toyota,Passo,Toyota Passo 2013,2013,Used,Automatic,Hatchback,Petrol,"1,000 cc","97,601 km",5800000
Toyota,Wigo,Wigo,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","81,500 km",6450000
Toyota,Vitz,2019,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","82,500 km",9200000
Toyota,Aqua,G Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","176,000 km",7150000
Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","69,000 km",8650000
Toyota,Vitz,,2018,Used,Automatic,Hatchback,Petrol,990 cc,"78,982 km",8500000
Toyota,Vitz,Safety Push Start,2016,Used,Automatic,Hatchback,Petrol,990 cc,"102,000 km",7200000
Toyota,Aqua,X URBAN,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","86,000 km",8900000
Toyota,Vitz,Toyota,2017,Used,Automatic,Hatchback,Petrol,990 cc,"74,800 km",8300000
Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,990 cc,"72,000 km",8350000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,990 cc,"133,622 km",7375000
Toyota,Roomy,Custom GT,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","52,640 km",9850000
Toyota,Vitz,X-SAFETY,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","139,000 km",6990000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","97,000 km",7500000
